legal_cat,age,elig_phat,elig_phat_SE,elig_count,elig_count_se,years,rec_phat,rec_phat_SE,rec_count,rec_count_se,time,incidence,tminus10,tminus9,tminus8,tminus7,tminus6,tminus5,tminus4,tminus3,tminus2,tminus1,t0,t1,t2,t3,t4
Effective_2017,Overall,0.528,0.0167,1260000,68000,2016 to 2017,0.011,0.0022,28000,5000,-1,0.0222222222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Effective_2018,12_20,0.76,0.0104,4276000,150000,2016 to 2017,0.059,0.004,333000,26000,-2,0.0778765201,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Effective_2018,21_Plus,0.52,0.0102,16933000,518000,2016 to 2017,0.004,0.0007,122000,24000,-2,0.0072048662,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Effective_2018,Overall,0.556,0.0091,21209000,544000,2016 to 2017,0.012,0.0009,455000,37000,-2,0.0214531567,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Illegal,12_20,0.794,0.0031,23814000,227000,2016 to 2017,0.049,0.0014,1466000,44000,0,0.0615604266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,21_Plus,0.541,0.0029,98256000,887000,2016 to 2017,0.003,0.0002,610000,42000,0,0.0062082723,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,Overall,0.577,0.0026,122070000,959000,2016 to 2017,0.01,0.0003,2076000,61000,0,0.0170066355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Overall,12_20,0.786,0.003,29816000,277000,2016 to 2017,0.052,0.0013,1952000,53000,,0.065468205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,21_Plus,0.532,0.0028,121575000,1030000,2016 to 2017,0.004,0.0002,852000,55000,,0.0070080197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,Overall,0.568,0.0024,151391000,1111000,2016 to 2017,0.01,0.0003,2804000,76000,,0.0185215766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2014,12_20,0.768,0.0141,1143000,61000,2018 to 2019,0.066,0.008,98000,13000,4,0.0857392826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Effective_2014,21_Plus,0.377,0.0149,3648000,200000,2018 to 2019,0.008,0.0023,82000,22000,4,0.0224780702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Effective_2014,Overall,0.429,0.0128,4791000,205000,2018 to 2019,0.016,0.0023,180000,25000,4,0.0375704446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Effective_2015,12_20,0.749,0.0277,343000,29000,2018 to 2019,0.058,0.0093,27000,5000,3,0.0787172012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Effective_2015,21_Plus,0.405,0.019,1271000,84000,2018 to 2019,0.013,0.0039,40000,12000,3,0.0314712825,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Effective_2015,Overall,0.449,0.0174,1613000,86000,2018 to 2019,0.018,0.0035,66000,12000,3,0.0409175449,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Effective_2016,12_20,0.772,0.0211,65000,4000,2018 to 2019,0.072,0.0111,6000,1000,2,0.0923076923,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2016,21_Plus,0.397,0.0168,199000,12000,2018 to 2019,0.008,0.0035,4000,2000,2,0.0201005025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2016,Overall,0.452,0.0152,264000,14000,2018 to 2019,0.017,0.0033,10000,2000,2,0.0378787879,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2017,12_20,0.757,0.0232,263000,19000,2018 to 2019,0.066,0.0114,23000,4000,1,0.0874524715,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2017,21_Plus,0.452,0.0203,1000000,64000,2018 to 2019,0.013,0.0034,28000,8000,1,0.028,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2017,Overall,0.493,0.0189,1263000,70000,2018 to 2019,0.02,0.0038,51000,11000,1,0.0403800475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2018,12_20,0.771,0.0095,4087000,112000,2018 to 2019,0.065,0.005,343000,29000,0,0.0839246391,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2018,21_Plus,0.491,0.01,16579000,450000,2018 to 2019,0.007,0.0009,224000,32000,0,0.0135110682,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2018,Overall,0.529,0.0091,20666000,484000,2018 to 2019,0.014,0.0011,566000,44000,0,0.0273879803,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,12_20,0.811,0.0031,24626000,284000,2018 to 2019,0.054,0.0015,1629000,51000,0,0.066149598,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,21_Plus,0.529,0.003,99051000,896000,2018 to 2019,0.004,0.0003,784000,49000,0,0.0079151144,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,Overall,0.569,0.0027,123677000,984000,2018 to 2019,0.011,0.0003,2413000,72000,0,0.0195104991,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Overall,12_20,0.803,0.0029,30527000,316000,2018 to 2019,0.056,0.0014,2125000,61000,,0.0696105087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,21_Plus,0.515,0.0029,121747000,1026000,2018 to 2019,0.005,0.0003,1161000,67000,,0.0095361693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,Overall,0.555,0.0026,152274000,1131000,2018 to 2019,0.012,0.0003,3286000,91000,,0.0215795211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
